VariableName,Simplified,Categry
ch_edaphic_eivdescombes_pixel_d,Soil_aeration,Edaphic
ch_edaphic_eivdescombes_pixel_f,Soil_moisture,Edaphic
ch_edaphic_eivdescombes_pixel_h,Soil_humus,Edaphic
ch_edaphic_eivdescombes_pixel_k,Continentality,Clim
ch_edaphic_eivdescombes_pixel_l,Light,Topo
ch_edaphic_eivdescombes_pixel_n,Soil_nutrients,Edaphic
ch_edaphic_eivdescombes_pixel_r,Soil_pH,Edaphic
ch_edaphic_eivdescombes_pixel_w,Soil_moisture_variability,Edaphic
meanEVI_annualmax_2017_2021,EVI,LC
meanEVI_annualmean_2017_2021,EVI,LC
meanEVI_annualmedian_2017_2021,EVI,LC
meanEVI_annualmin_2017_2021,EVI,LC
meanEVI_annualrange_2017_2021,EVI,LC
meanEVI_annualstd_2017_2021,EVI,LC
meanGCI_annualmax_2017_2021,GCI,LC
meanGCI_annualmean_2017_2021,GCI,LC
meanGCI_annualmedian_2017_2021,GCI,LC
meanGCI_annualmin_2017_2021,GCI,LC
meanGCI_annualrange_2017_2021,GCI,LC
meanGCI_annualstd_2017_2021,GCI,LC
gdd0Y_8110_LV95,GDD,Clim
gdd3Y_8110_LV95,GDD,Clim
gdd5Y_8110_LV95,GDD,Clim
AI_8110_LV95,AridityIndex,Clim
bio1_t_8110_LV95,Temp,Clim
bio2_tdr_8110_LV95,Temp,Clim
bio3_tiso_8110_LV95,Temp,Clim
bio4_ts_8110_LV95,Temp,Clim
bio5_tmaxw_8110_LV95,Temp,Clim
bio6_tminc_8110_LV95,Temp,Clim
bio7_tar_8110_LV95,Temp,Clim
bio8_twetq_8110_LV95,Temp,Clim
bio9_tdryq_8110_LV95,Temp,Clim
bio10_twarmq_8110_LV95,Temp,Clim
bio11_tcoldq_8110_LV95,Temp,Clim
bio12_p_8110_LV95,Prec,Clim
bio13_pwet_8110_LV95,Prec,Clim
bio14_pdry_8110_LV95,Prec,Clim
bio15_ps_8110_LV95,Prec,Clim
bio16_pwetq_8110_LV95,Prec,Clim
bio17_pdryq_8110_LV95,Prec,Clim
bio18_pwarmq_8110_LV95,Prec,Clim
bio19_pcoldq_8110_LV95,Prec,Clim
etpY_8110_LV95,ETP,Clim
east_mean,east,Topo
eastSlope_mean,east,Topo
mnt_mean,elevation,Topo
north_mean,North,Topo
northSlope_mean,North,Topo
roughness_mean,roughness,Topo
slope_mean,slope,Topo
TPI_mean,TPI,Topo
TRI_mean,TRI,Topo
CanopyVaud2m_max,Canopy,LC
CanopyVaud2m_mean,Canopy,LC
CanopyVaud2m_median,Canopy,LC
CanopyVaud2m_min,Canopy,LC
CanopyVaud2m_sd,Canopy,LC
EauxStagnantes_prop,EauxStagnantes_prop,LC
ForetBuissannante_prop,ForetBuissannante_prop,LC
ForetClairsemee_prop,ForetClairsemee_prop,LC
ForetDense_prop,ForetDense_prop,LC
Glacier_prop,Glacier_prop,LC
RocheMeubler_prop,RocheMeubler_prop,LC
Rocks_Min80Per_prop,Rocks_Min80Per_prop,LC
ZHumide_prop,ZHumide_prop,LC
sradY,sradY,Topo
SCD15_final,SnowDuration,Clim
SCD40_final,SnowDuration,Clim
meanLAI_annualmax_2017_2021,NA,NA
